CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Minas Gerais
Quantidade por Município
Médicos: Médico do trabalho
Período:Fev/2026
"Município";"Quantidade"
"310150 ALEM PARAIBA";2
"310160 ALFENAS";1
"310190 ALPINOPOLIS";1
"310260 ANDRADAS";1
"310350 ARAGUARI";1
"310400 ARAXA";5
"310420 ARCOS";2
"310540 BARAO DE COCAIS";2
"310560 BARBACENA";6
"310590 BARROSO";1
"310620 BELO HORIZONTE";134
"310630 BELO ORIENTE";1
"310670 BETIM";35
"310730 BOCAIUVA";1
"310740 BOM DESPACHO";1
"310810 BONFIM";1
"310855 BRASILANDIA DE MINAS";1
"310860 BRASILIA DE MINAS";1
"310900 BRUMADINHO";1
"311060 CAMBUI";1
"311100 CAMPESTRE";1
"311120 CAMPO BELO";3
"311230 CAPELINHA";1
"311340 CARATINGA";2
"311530 CATAGUASES";1
"311660 CLAUDIO";1
"311750 CONCEICAO DO MATO DENTRO";1
"311780 CONCEICAO DOS OUROS";1
"311800 CONGONHAS";5
"311830 CONSELHEIRO LAFAIETE";3
"311860 CONTAGEM";21
"311930 COROMANDEL";2
"311940 CORONEL FABRICIANO";3
"312090 CURVELO";2
"312160 DIAMANTINA";2
"312230 DIVINOPOLIS";11
"312390 ENTRE RIOS DE MINAS";1
"312610 FORMIGA";5
"312710 FRUTAL";1
"312770 GOVERNADOR VALADARES";6
"312780 GRAO MOGOL";1
"312800 GUANHAES";1
"312870 GUAXUPE";1
"312980 IBIRITE";1
"313010 IGARAPE";4
"313070 INDIANOPOLIS";1
"313130 IPATINGA";11
"313170 ITABIRA";5
"313240 ITAJUBA";5
"313350 ITAPECERICA";1
"313370 ITATIAIUCU";1
"313375 ITAU DE MINAS";2
"313380 ITAUNA";2
"313420 ITUIUTABA";1
"313440 ITURAMA";4
"313505 JAIBA";1
"313510 JANAUBA";1
"313520 JANUARIA";1
"313630 JOAO PINHEIRO";1
"313670 JUIZ DE FORA";25
"313720 LAGOA DA PRATA";1
"313760 LAGOA SANTA";1
"313820 LAVRAS";4
"313940 MANHUACU";1
"314000 MARIANA";4
"314050 MARTINHO CAMPOS";2
"314070 MATEUS LEME";1
"314110 MATOZINHOS";1
"314300 MONTE BELO";1
"314330 MONTES CLAROS";6
"314340 MONTE SIAO";2
"314390 MURIAE";3
"314430 NANUQUE";1
"314470 NOVA ERA";1
"314480 NOVA LIMA";6
"314520 NOVA SERRANA";2
"314590 OURO BRANCO";2
"314610 OURO PRETO";2
"314700 PARACATU";1
"314710 PARA DE MINAS";3
"314790 PASSOS";1
"314800 PATOS DE MINAS";3
"314810 PATROCINIO";2
"314930 PEDRO LEOPOLDO";1
"315120 PIRAPORA";3
"315140 PITANGUI";1
"315180 POCOS DE CALDAS";4
"315210 PONTE NOVA";2
"315250 POUSO ALEGRE";4
"315400 RAUL SOARES";1
"315670 SABARA";1
"315690 SACRAMENTO";1
"315770 SANTA JULIANA";1
"315780 SANTA LUZIA";3
"315960 SANTA RITA DO SAPUCAI";2
"316040 SANTO ANTONIO DO MONTE";1
"316210 SAO GOTARDO";1
"316250 SAO JOAO DEL REI";1
"316370 SAO LOURENCO";1
"316440 SAO SEBASTIAO DA BELA VISTA";1
"316470 SAO SEBASTIAO DO PARAISO";1
"316720 SETE LAGOAS";12
"316810 TAPIRA";1
"316930 TRES CORACOES";2
"316940 TRES PONTAS";5
"316960 TUPACIGUARA";1
"316990 UBA";1
"317010 UBERABA";5
"317020 UBERLANDIA";24
"317070 VARGINHA";5
"317120 VESPASIANO";3
"317200 VISCONDE DO RIO BRANCO";2
"Total";484
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 - Os dados relativos ao Cadastro Nacional de Estabelecimentos de Saúde (CNES) exibidos no TABNET referem-se aos registros constantes no Banco de Dados Nacional do CNES com status ATIVO.
 - A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
